test 	Be-10_(qtz) 	0.008 	60.4 	8.69 	9.93 	0.00866 	65.3 	9.4 	10.6 	0.00763 	57.6 	8.29 	8.97
test 	Be-10_(qtz) 	0.0079 	59.6 	10 	11.1 	0.00856 	64.6 	10.9 	11.9 	0.00753 	56.8 	9.58 	10.2
test 	Be-10_(qtz) 	0.00789 	59.5 	8.56 	9.79 	0.00855 	64.5 	9.27 	10.5 	0.00752 	56.8 	8.17 	8.84
test 	Be-10_(qtz) 	0.00785 	59.2 	9.48 	10.6 	0.00851 	64.2 	10.3 	11.4 	0.00749 	56.5 	9.05 	9.66
test 	Be-10_(qtz) 	0.00796 	60.1 	8.56 	9.81 	0.00862 	65 	9.26 	10.5 	0.00759 	57.3 	8.17 	8.85
test 	Be-10_(qtz) 	0.00775 	58.5 	10.5 	11.5 	0.00841 	63.5 	11.4 	12.4 	0.0074 	55.8 	10 	10.6
test 	Be-10_(qtz) 	0.0078 	58.9 	7.96 	9.24 	0.00846 	63.9 	8.63 	9.89 	0.00745 	56.2 	7.6 	8.31
test 	Be-10_(qtz) 	0.00787 	59.4 	8.7 	9.91 	0.00853 	64.4 	9.42 	10.6 	0.00751 	56.7 	8.3 	8.96
test 	Be-10_(qtz) 	0.00791 	59.7 	8 	9.31 	0.00857 	64.7 	8.66 	9.95 	0.00755 	57 	7.64 	8.36
test 	Be-10_(qtz) 	0.00803 	60.6 	8.01 	9.35 	0.00869 	65.6 	8.66 	9.98 	0.00766 	57.8 	7.64 	8.38
test 	Be-10_(qtz) 	0.00777 	58.7 	9.47 	10.6 	0.00843 	63.6 	10.3 	11.3 	0.00742 	56 	9.04 	9.64
test 	Be-10_(qtz) 	0.00798 	60.3 	8.69 	9.93 	0.00864 	65.2 	9.4 	10.6 	0.00761 	57.5 	8.29 	8.97
test 	Be-10_(qtz) 	0.0079 	59.6 	8.99 	10.2 	0.00856 	64.6 	9.73 	10.9 	0.00753 	56.9 	8.58 	9.22
test 	Be-10_(qtz) 	0.00793 	59.8 	9.01 	10.2 	0.00859 	64.8 	9.75 	10.9 	0.00756 	57 	8.6 	9.25
test 	Be-10_(qtz) 	0.00789 	59.5 	8.91 	10.1 	0.00855 	64.5 	9.65 	10.8 	0.00753 	56.8 	8.51 	9.16
test 	Be-10_(qtz) 	0.00794 	59.9 	9.43 	10.6 	0.0086 	64.9 	10.2 	11.3 	0.00757 	57.1 	9 	9.62
